maximum	fitness	accessibility
0		0.992885	0.339
1		0.984825	0.286
2		1		0.026
3		0.992011	0.153
4		0.993852	0.085
5		0.990956	0.033
6		0.986482	0.027
7		0.995174	0.034
8		0.990878	0.005
9		0.991341	0.012
