maximum	fitness	accessibility
0		0.992885	0.002
1		0.984825	0.951
2		1		0.0
3		0.992011	0.036
4		0.993852	0.011
5		0.990956	0.0
6		0.986482	0.0
7		0.995174	0.0
8		0.990878	0.0
9		0.991341	0.0
