maximum	fitness	accessibility
0		0.992885	0.0
1		0.984825	1
2		1		0.0
3		0.992011	0.0
4		0.993852	0.0
5		0.990956	0.0
6		0.986482	0.0
7		0.995174	0.0
8		0.990878	0.0
9		0.991341	0.0
