maximum	fitness	accessibility
0		0.995207	0.0408
1		0.992813	0.4795
2		0.995838	0.3186
3		0.996728	0.0957
4		0.994535	0.0511
5		0.991592	0.0018
6		0.993336	0.0027
7		0.995957	0.0068
8		0.994673	0.0012
9		1		0.0012
10		0.995536	0.0001
11		0.990729	0.0001
12		0.990317	0.0004
