tau	mean			error
1	0.007239065999999996	0.0008078460019952106
2	0.012488049999999976	0.0014450334651382633
3	0.021593246000000014	0.002198315310059836
4	0.02938081400000002	0.0027632865456273968
6	0.05458442999999989	0.003988048031110345
8	0.09206835600000006	0.005241705353781087
12	0.16892304000000016	0.006877949157707289
16	0.2337989360000003	0.00771024679942709
24	0.3129274999999999	0.008800657959015454
32	0.3582405300000001	0.009242193026788977
48	0.4031093419999996	0.00935065446629845
64	0.43584180800000016	0.009649855345073875
96	0.45893807400000053	0.009600431243722226
128	0.47286781000000006	0.009707500171345857
192	0.4844748960000005	0.009755248011066283
256	0.49187933799999983	0.009719404522266469
384	0.5004630899999999	0.0098056281536644
512	0.502948332	0.00981555140958398
768	0.5071630979999997	0.009810287461117069
1024	0.5095101819999996	0.009812318725115038
