tau	mean			error
1	0.014822487999999995	0.001495521336621399
2	0.043393648000000014	0.003403656997043637
3	0.07499494399999997	0.004890237799077348
4	0.104354284	0.0054363902172665434
6	0.1447785780000002	0.006455308351151465
8	0.18410480600000012	0.007110484562938486
12	0.24167636200000017	0.007991900340367166
16	0.2880718579999995	0.008535342568617628
24	0.3333831159999999	0.008845293428502779
32	0.3599559479999999	0.0090733659148577
48	0.3970342460000006	0.00940691939405409
64	0.40686178199999984	0.009402244031780308
96	0.43071426600000035	0.009518416915523981
128	0.4435189059999995	0.009604833945262755
192	0.4531021380000004	0.009633638408686135
256	0.46035683200000005	0.009712484941188431
384	0.4616467900000002	0.009716831884078451
512	0.46554767	0.009699209477579856
768	0.4680157400000002	0.009714552155505892
1024	0.4677801079999998	0.00969244539942222
